응답자 ID,Training 선호 스타일,Training 비선호 스타일,Validation 선호 스타일,Validation 비선호 스타일
65659,W_51060_50_ivy_M_184917.json,W_63644_10_sportivecasual_M_184930.json,,"W_25411_70_hippie_M_184911.json, W_63644_10_sportivecasual_M_184930.json"
65660,,W_25270_19_normcore_M_184989.json,,
65662,,"T_16442_10_sportivecasual_W_185077.json, T_11824_90_kitsch_W_185083.json, T_12511_19_lounge_W_185048.json",,
65667,W_00004_50_ivy_M_185102.json,"W_58911_00_metrosexual_M_185114.json, W_20862_80_bold_M_185119.json",W_00004_50_ivy_M_185102.json,
133,"W_00803_50_ivy_M_000490.json, W_00036_50_ivy_M_000449.json, W_06666_90_hiphop_M_000461.json, W_02876_10_sportivecasual_M_000480.json","W_15820_70_hippie_M_000492.json, W_00525_10_sportivecasual_M_000455.json, W_17853_10_sportivecasual_M_000471.json, W_09233_60_mods_M_000450.json, W_06922_00_metrosexual_M_000462.json, W_02739_50_ivy_M_000465.json, W_01514_90_hiphop_M_000478.json, W_10073_70_hippie_M_000484.json, W_06185_60_mods_M_000491.json",,"W_17697_50_ivy_M_000457.json, W_10073_70_hippie_M_000484.json"
65675,"W_32383_00_metrosexual_M_185143.json, W_01703_00_metrosexual_M_185158.json",,"W_32383_00_metrosexual_M_185143.json, W_01703_00_metrosexual_M_185158.json",
139,"T_07025_90_kitsch_W_000511.json, T_06987_90_kitsch_W_000503.json",W_18079_50_classic_W_000499.json,,
140,,"W_04759_90_hiphop_M_000567.json, T_16939_19_normcore_M_000562.json",,W_07121_80_bold_M_000559.json
16525,"W_03441_80_powersuit_W_020264.json, W_38394_19_normcore_W_020284.json",W_30431_80_powersuit_W_020272.json,,W_30431_80_powersuit_W_020272.json
65679,,W_26453_70_hippie_M_185199.json,,
65680,,,W_53808_80_bold_M_185229.json,
65681,,W_26196_50_ivy_M_185271.json,,
65683,,W_57822_90_hiphop_M_185347.json,,W_25174_70_hippie_M_185338.json
65684,,W_29838_10_sportivecasual_M_185386.json,,
65689,W_07648_70_hippie_W_185527.json,,,
65699,W_22350_19_lounge_W_185602.json,,,
49320,"W_06753_60_mods_M_067627.json, W_25280_90_hiphop_M_067613.json, W_07255_50_ivy_M_067609.json, W_00031_50_ivy_M_067634.json","W_25272_90_hiphop_M_067630.json, W_24859_70_hippie_M_067619.json, W_15947_80_bold_M_067629.json, W_24315_70_hippie_M_067636.json",,"W_16851_10_sportivecasual_M_067632.json, W_15947_80_bold_M_067629.json, W_15497_70_hippie_M_067628.json"
49321,T_01170_50_classic_W_067667.json,"T_11170_80_powersuit_W_067654.json, T_05386_60_minimal_W_067693.json, T_00815_60_minimal_W_067652.json",,
65704,W_51186_50_ivy_M_185677.json,,W_12260_80_bold_M_185672.json,
16555,W_02282_70_hippie_W_020321.json,"W_05625_50_feminine_W_020294.json, W_13710_60_minimal_W_020320.json",W_14785_00_cityglam_W_020291.json,
65709,,W_58066_80_bold_M_185804.json,,
65712,W_06551_60_mods_M_185850.json,"W_06948_70_hippie_M_185867.json, T_01207_19_normcore_M_185849.json",W_06551_60_mods_M_185850.json,
179,"W_18543_60_popart_W_000635.json, W_11602_19_normcore_W_000641.json, W_09086_19_normcore_W_000600.json","W_01883_19_normcore_W_000625.json, W_19433_00_oriental_W_000631.json, W_03787_80_bodyconscious_W_000629.json, W_14147_70_disco_W_000636.json",,W_14147_70_disco_W_000636.json
65717,,W_21868_00_ecology_W_185896.json,,
65719,W_17155_19_normcore_M_185997.json,W_25294_70_hippie_M_185979.json,,
65722,,W_25342_00_metrosexual_M_186039.json,,
65723,,"W_27854_50_ivy_M_186050.json, W_31568_19_normcore_M_186084.json",,W_27854_50_ivy_M_186050.json
49340,W_65268_90_hiphop_M_067718.json,,,
65730,W_51577_50_ivy_M_186203.json,,W_51577_50_ivy_M_186203.json,
196,"W_07125_60_mods_M_000685.json, W_28350_19_normcore_M_000650.json, W_15343_50_ivy_M_000676.json, W_12803_70_hippie_M_000670.json, W_01549_50_ivy_M_000684.json","W_10075_50_ivy_M_000668.json, W_27319_10_sportivecasual_M_000690.json, W_35801_80_bold_M_000646.json, W_15669_00_metrosexual_M_000664.json","W_12803_70_hippie_M_000670.json, W_01549_50_ivy_M_000684.json",
65732,,W_56627_80_powersuit_W_186231.json,,
16581,,,,T_05979_10_sportivecasual_W_020358.json
65735,,"W_51973_70_hippie_M_186315.json, W_58842_70_hippie_M_186301.json",,
65737,,W_17738_80_bold_M_186375.json,,W_17738_80_bold_M_186375.json
65738,W_24309_50_ivy_M_186402.json,,,
65739,,,W_52417_00_metrosexual_M_186472.json,W_24598_80_bold_M_186463.json
65740,,W_24216_19_normcore_M_186489.json,,
65743,,"W_15843_00_metrosexual_M_186531.json, W_21990_00_metrosexual_M_186553.json, W_52149_70_hippie_M_186521.json",,W_15843_00_metrosexual_M_186531.json
65745,,W_28849_70_hippie_M_186579.json,,
65749,,W_02713_70_hippie_M_186623.json,,
65752,,,W_00851_10_sportivecasual_M_186686.json,
65756,W_30072_19_normcore_M_186731.json,W_12210_80_bold_M_186734.json,,
65759,W_17467_19_normcore_M_186768.json,W_32045_50_ivy_M_186776.json,,
65767,"T_00729_60_minimal_W_186810.json, T_14195_10_sportivecasual_W_186823.json, T_00805_60_minimal_W_186808.json","W_12019_50_feminine_W_186809.json, W_07613_50_feminine_W_186792.json, W_33459_60_space_W_186818.json",,
65770,W_24122_50_ivy_M_186848.json,,,
65773,W_30027_50_ivy_M_186914.json,W_02693_70_hippie_M_186886.json,W_30027_50_ivy_M_186914.json,
65775,"W_10071_80_bold_M_186931.json, W_00893_19_normcore_M_186957.json",,,
65778,W_28554_10_sportivecasual_M_187036.json,,,
65779,W_24903_80_bold_M_187084.json,,,
33014,"T_06805_10_sportivecasual_M_058386.json, T_16383_10_sportivecasual_M_058397.json",W_66161_80_bold_M_058367.json,,
33020,,W_33901_90_kitsch_W_058441.json,,W_33901_90_kitsch_W_058441.json
65791,,W_32008_80_bold_M_187253.json,,
65792,"W_28849_70_hippie_M_187310.json, W_12686_80_bold_M_187282.json",,,
65794,,"W_04484_90_hiphop_M_187356.json, W_51362_50_ivy_M_187339.json, W_30688_50_ivy_M_187324.json",,
65802,,W_25941_10_sportivecasual_M_187467.json,,
65803,,W_59439_00_metrosexual_M_187496.json,,W_28314_10_sportivecasual_M_187504.json
65804,T_17902_19_normcore_M_187551.json,"W_15738_00_metrosexual_M_187574.json, W_15732_00_metrosexual_M_187582.json, W_17245_70_hippie_M_187571.json, W_28992_90_hiphop_M_187540.json, W_24773_80_bold_M_187580.json, W_17221_70_hippie_M_187563.json, W_24774_80_bold_M_187572.json",,W_17221_70_hippie_M_187563.json
65807,"W_05897_10_sportivecasual_M_187591.json, W_11117_19_normcore_M_187614.json",,,
65816,W_25168_90_hiphop_M_187669.json,,,
65817,W_15732_00_metrosexual_M_187707.json,,,
65818,T_16619_80_bold_M_187736.json,,,
65819,"T_09822_19_normcore_W_187798.json, T_06165_50_classic_W_187782.json, T_02043_90_hiphop_W_187803.json",,,
65824,T_06550_90_hiphop_W_187854.json,,,
289,"W_02230_60_space_W_000827.json, W_06448_10_sportivecasual_W_000832.json","W_06298_80_bodyconscious_W_000829.json, W_11495_19_genderless_W_000816.json, W_19735_90_grunge_W_000813.json, W_07695_80_bodyconscious_W_000796.json",W_06448_10_sportivecasual_W_000832.json,W_11495_19_genderless_W_000816.json
65828,,W_27182_10_sportivecasual_M_187878.json,,
65831,,"W_24167_80_bold_M_187883.json, W_01713_70_hippie_M_187882.json",,W_24947_90_hiphop_M_187891.json
65832,W_23995_19_normcore_M_187945.json,,,
65834,,W_59490_00_metrosexual_M_187980.json,,
65838,W_07586_60_minimal_W_188021.json,W_07981_70_military_W_188022.json,,W_07981_70_military_W_188022.json
65839,,W_28915_19_normcore_M_188057.json,,
65842,,W_25400_19_normcore_M_188123.json,,
65843,W_01568_19_normcore_M_188167.json,W_26874_70_hippie_M_188126.json,,
65859,W_66114_50_ivy_M_188243.json,"W_52526_50_ivy_M_188236.json, W_21990_00_metrosexual_M_188233.json",,
65861,,W_11108_00_metrosexual_M_188291.json,,
65863,W_04208_50_ivy_M_188331.json,,,
33099,"W_07834_70_disco_W_058488.json, T_00886_10_sportivecasual_W_058484.json, T_00924_60_minimal_W_058495.json, W_18759_50_feminine_W_058478.json",W_29415_60_minimal_W_058502.json,,
65873,,W_58842_70_hippie_M_188354.json,,
65878,,W_24525_70_hippie_M_188398.json,,
65880,W_00799_10_sportivecasual_M_188498.json,,,W_53808_80_bold_M_188487.json
65882,,W_37381_70_hippie_M_188530.json,,
65890,,W_17158_60_mods_M_188590.json,,
65896,,"W_55609_90_hiphop_M_188667.json, W_23709_80_bold_M_188652.json, W_04522_50_ivy_M_188664.json",,W_04522_50_ivy_M_188664.json
65898,,W_24773_80_bold_M_188718.json,,
16749,"W_30753_50_ivy_M_020444.json, W_26261_50_ivy_M_020427.json","W_16796_19_normcore_M_020426.json, W_24530_70_hippie_M_020446.json, W_24530_70_hippie_M_020413.json, W_10076_50_ivy_M_020452.json, W_04506_10_sportivecasual_M_020458.json",,
65902,W_17757_19_normcore_M_188780.json,,,
368,"W_12817_50_ivy_M_001050.json, W_16403_10_sportivecasual_M_001064.json, W_01703_00_metrosexual_M_001038.json, W_04604_00_metrosexual_M_001055.json, W_00799_10_sportivecasual_M_001023.json, W_06686_70_hippie_M_001044.json, W_06843_60_mods_M_001034.json, W_12843_19_normcore_M_001049.json, W_17536_80_bold_M_001045.json, W_06896_10_sportivecasual_M_001031.json, W_17320_70_hippie_M_001019.json, W_04678_50_ivy_M_001042.json, W_09835_50_ivy_M_001025.json, W_15572_80_bold_M_001061.json, W_04238_50_ivy_M_001017.json, W_00528_10_sportivecasual_M_001048.json, W_04622_60_mods_M_001059.json, W_17455_00_metrosexual_M_001063.json, W_02804_19_normcore_M_001065.json, W_00886_90_hiphop_M_001046.json, W_06753_60_mods_M_001043.json","W_16483_19_normcore_M_001032.json, W_06551_60_mods_M_001018.json, W_15157_60_mods_M_001026.json, W_15519_90_hiphop_M_001021.json, W_00905_19_normcore_M_001057.json, W_17663_80_bold_M_001053.json, W_02777_90_hiphop_M_001037.json, W_16422_10_sportivecasual_M_001056.json, W_04444_90_hiphop_M_001062.json, W_02714_00_metrosexual_M_001030.json, W_05422_00_metrosexual_M_001047.json, W_16264_80_bold_M_001036.json, W_15453_70_hippie_M_001052.json, W_11014_80_bold_M_001020.json, W_16606_90_hiphop_M_001054.json, W_15568_70_hippie_M_001035.json, W_15791_70_hippie_M_001027.json, W_16157_70_hippie_M_001060.json, W_11108_00_metrosexual_M_001022.json, W_16726_19_normcore_M_001066.json, W_12459_50_ivy_M_001033.json, W_15340_50_ivy_M_001058.json, W_06263_19_normcore_M_001024.json","W_12817_50_ivy_M_001050.json, W_01703_00_metrosexual_M_001038.json, W_04678_50_ivy_M_001042.json, W_00551_19_normcore_M_001041.json, W_06864_10_sportivecasual_M_001039.json, W_04622_60_mods_M_001059.json","W_16034_80_bold_M_001028.json, W_06551_60_mods_M_001018.json, W_16848_19_normcore_M_001040.json, W_15791_70_hippie_M_001027.json, W_15340_50_ivy_M_001058.json"
65907,W_50824_50_ivy_M_188782.json,,,
65930,T_09272_19_lounge_W_188965.json,T_01379_00_ecology_W_188963.json,,
65931,,"W_60191_10_sportivecasual_M_189025.json, W_24101_50_ivy_M_188992.json",,
65932,W_26453_70_hippie_M_189050.json,,,
65935,"W_07605_50_feminine_W_189156.json, T_05688_19_lounge_W_189171.json",T_06546_19_genderless_W_189146.json,,
400,"T_05893_10_sportivecasual_W_001073.json, T_07418_60_minimal_W_001093.json",,,
401,"W_11063_00_metrosexual_M_001138.json, W_06249_70_hippie_M_001119.json","W_17957_80_bold_M_001136.json, W_06570_70_hippie_M_001135.json",,
49561,W_24053_60_mods_M_067757.json,"W_04673_00_metrosexual_M_067736.json, W_30041_50_ivy_M_067764.json, W_04522_50_ivy_M_067739.json, W_12467_70_hippie_M_067750.json, W_30040_60_mods_M_067740.json",,W_04522_50_ivy_M_067739.json
65945,T_15600_10_sportivecasual_M_189273.json,"T_14940_00_metrosexual_M_189297.json, T_07220_10_sportivecasual_M_189281.json, W_25518_60_mods_M_189300.json, T_16255_80_bold_M_189310.json, T_15878_80_bold_M_189278.json, W_09772_70_hippie_M_189269.json",,
49562,W_41177_10_sportivecasual_W_067820.json,W_03385_00_cityglam_W_067786.json,,
65947,W_04208_50_ivy_M_189345.json,,,
65948,,"T_08301_90_kitsch_W_189379.json, T_11421_00_cityglam_W_189365.json",,
65956,,"W_53446_80_bold_M_189454.json, W_28449_10_sportivecasual_M_189470.json, W_06570_70_hippie_M_189481.json",,W_53446_80_bold_M_189454.json
65962,"T_06563_19_normcore_W_189571.json, T_06249_10_sportivecasual_W_189570.json",,,
65970,,W_24122_50_ivy_M_189640.json,,
436,"T_12658_90_lingerie_W_001171.json, T_07123_19_normcore_W_001182.json, T_12285_90_lingerie_W_001162.json, W_14584_50_classic_W_001167.json",T_12278_90_hiphop_W_001154.json,,
65976,,W_12092_80_bold_M_189686.json,,W_12092_80_bold_M_189686.json
65980,,"T_00545_50_ivy_M_189721.json, T_00091_10_sportivecasual_M_189768.json",,
49598,,"W_26214_10_sportivecasual_M_067864.json, W_57031_90_hiphop_M_067848.json",,
65987,W_13709_50_feminine_W_189771.json,,,
65988,"W_06318_50_classic_W_189870.json, T_05835_19_lounge_W_189836.json, T_07292_00_cityglam_W_189851.json",,,
65990,,W_16719_70_hippie_M_189894.json,,
65994,"T_08270_50_classic_W_189956.json, T_12467_19_genderless_W_189922.json, T_13518_10_sportivecasual_W_189921.json, T_00856_10_sportivecasual_W_189946.json","W_47122_80_powersuit_W_189959.json, T_09901_19_lounge_W_189947.json",,W_47122_80_powersuit_W_189959.json
65996,,W_53446_80_bold_M_189974.json,,W_53446_80_bold_M_189974.json
65999,,"W_60210_10_sportivecasual_M_190094.json, W_24903_80_bold_M_190084.json",,
66001,"W_13137_60_minimal_W_190114.json, T_07138_10_sportivecasual_W_190128.json",,,
66020,W_14700_50_feminine_W_190206.json,T_11290_80_bodyconscious_W_190234.json,,
66024,W_54465_80_bold_M_190300.json,W_28449_10_sportivecasual_M_190311.json,W_54465_80_bold_M_190300.json,
66033,T_06218_10_sportivecasual_W_190390.json,W_15016_50_feminine_W_190409.json,,
498,T_04002_90_hiphop_M_001204.json,W_24212_70_hippie_M_001210.json,,
500,,"T_12189_80_powersuit_W_001286.json, T_14031_19_normcore_W_001249.json, T_12170_80_powersuit_W_001253.json, T_12197_80_powersuit_W_001270.json",,
66040,,T_07883_19_normcore_W_190574.json,,
66047,W_51074_00_metrosexual_M_190594.json,,,
49672,"W_07605_50_feminine_W_067875.json, W_10518_50_feminine_W_067867.json, W_08808_10_athleisure_W_067898.json",,,
66056,,W_58842_70_hippie_M_190621.json,,
525,"W_04248_70_hippie_M_001310.json, W_10082_50_ivy_M_001300.json, W_09760_60_mods_M_001334.json, W_16092_80_bold_M_001303.json, W_09765_50_ivy_M_001317.json","W_15766_00_metrosexual_M_001322.json, W_12828_50_ivy_M_001308.json, W_15593_70_hippie_M_001335.json, W_06889_90_hiphop_M_001296.json, W_17815_00_metrosexual_M_001305.json, W_17741_80_bold_M_001320.json, W_12189_60_mods_M_001301.json",W_04629_90_hiphop_M_001312.json,"W_15766_00_metrosexual_M_001322.json, W_06889_90_hiphop_M_001296.json"
66064,,"W_51973_70_hippie_M_190730.json, W_25294_70_hippie_M_190722.json",,
66065,T_00564_19_normcore_M_190786.json,T_10880_00_metrosexual_M_190784.json,,
66072,W_09151_60_mods_M_190796.json,T_03504_10_sportivecasual_M_190833.json,,T_07990_60_mods_M_190828.json
541,,"W_05202_10_sportivecasual_W_001348.json, W_19912_70_hippie_W_001379.json, W_19264_90_kitsch_W_001353.json",,
66077,,,,W_28719_10_sportivecasual_M_190898.json
66080,,W_17800_80_bold_M_190946.json,,
66086,,,W_28719_10_sportivecasual_M_191080.json,
66089,,,,W_17742_80_bold_M_191157.json
559,"T_15461_10_sportivecasual_M_001406.json, T_00041_90_hiphop_M_001396.json","T_03767_90_hiphop_M_001388.json, W_51973_70_hippie_M_001402.json, T_04837_00_metrosexual_M_001414.json, W_02927_60_mods_M_001424.json",,W_05876_70_hippie_M_001411.json
49717,W_15235_80_bold_M_067953.json,"W_02723_80_bold_M_067928.json, W_07252_90_hiphop_M_067937.json, W_00555_50_ivy_M_067933.json, W_12278_80_bold_M_067961.json, W_12805_50_ivy_M_067917.json",W_10103_19_normcore_M_067949.json,W_19833_50_ivy_M_067942.json
66103,,W_33184_00_metrosexual_M_191203.json,,
33336,,"W_25285_90_hiphop_M_058590.json, T_16774_70_hippie_M_058580.json",,
66110,"T_09539_10_sportivecasual_W_191235.json, T_11551_00_oriental_W_191234.json, T_07350_50_classic_W_191245.json",,,
66113,,W_00366_60_minimal_W_191255.json,,W_00366_60_minimal_W_191255.json
66114,,,W_29063_90_hiphop_M_191321.json,
49732,W_19352_50_feminine_W_068017.json,W_19456_50_feminine_W_068042.json,W_19352_50_feminine_W_068017.json,
49737,"T_18675_19_normcore_M_068068.json, T_19118_19_normcore_M_068096.json","T_19114_19_normcore_M_068110.json, T_18680_19_normcore_M_068085.json, T_18694_19_normcore_M_068082.json",,
66132,,W_26487_50_ivy_M_191435.json,,
66133,,"W_00555_50_ivy_M_191457.json, W_07181_10_sportivecasual_M_191469.json",,
66134,,"T_12249_00_oriental_W_191546.json, T_01997_19_normcore_W_191540.json",,
597,W_31252_00_ecology_W_001445.json,,,
66139,"W_15287_60_mods_M_191618.json, T_04541_90_hiphop_M_191614.json, T_00093_90_hiphop_M_191623.json",T_04444_00_metrosexual_M_191599.json,T_01514_50_ivy_M_191627.json,
49761,W_06763_00_metrosexual_M_068247.json,W_25543_60_mods_M_068250.json,,
66146,W_51362_50_ivy_M_191710.json,W_52140_70_hippie_M_191703.json,,W_52140_70_hippie_M_191703.json
66154,,W_24579_50_ivy_M_191783.json,,
66158,,W_32460_50_ivy_M_191893.json,,
66160,,W_26201_50_ivy_M_191908.json,,
66161,"T_03952_90_hiphop_M_191956.json, T_15511_00_metrosexual_M_191990.json, T_15505_00_metrosexual_M_191982.json, T_04179_60_mods_M_191961.json",W_53241_80_bold_M_191980.json,,
66164,T_04363_90_hiphop_W_192089.json,,T_02333_50_classic_W_192046.json,T_13656_10_sportivecasual_W_192058.json
66166,"W_32039_60_mods_M_192164.json, T_02771_19_normcore_M_192170.json, W_30406_60_mods_M_192180.json, T_03043_60_mods_M_192139.json","W_16677_70_hippie_M_192156.json, T_06595_80_bold_M_192166.json, W_24031_60_mods_M_192147.json",,
66170,,W_59490_00_metrosexual_M_192214.json,,
49794,"W_09760_60_mods_M_068341.json, T_03151_90_hiphop_M_068360.json","T_02724_19_normcore_M_068338.json, W_15402_70_hippie_M_068325.json, W_24243_70_hippie_M_068333.json",,"W_15402_70_hippie_M_068325.json, W_10781_60_mods_M_068332.json"
66180,"T_09797_19_normcore_W_192239.json, W_13755_60_minimal_W_192233.json","T_11313_19_genderless_W_192280.json, T_07382_10_sportivecasual_W_192238.json",,
66183,,W_59075_00_metrosexual_M_192344.json,,
49813,W_03243_50_classic_W_068398.json,"T_11415_00_oriental_W_068370.json, T_14866_19_normcore_W_068397.json, T_00729_60_minimal_W_068366.json",,
66202,W_26175_50_ivy_M_192413.json,,,
66209,"T_18562_19_normcore_M_192462.json, T_18545_19_normcore_M_192464.json",T_18546_19_normcore_M_192472.json,,T_19559_19_normcore_M_192490.json
66212,,"W_51973_70_hippie_M_192528.json, W_25244_19_normcore_M_192525.json",,
677,"W_24152_60_mods_M_001574.json, W_10823_50_ivy_M_001557.json, W_00041_70_hippie_M_001550.json, W_28604_10_sportivecasual_M_001579.json","W_24747_60_mods_M_001541.json, W_02710_50_ivy_M_001532.json, W_00475_50_ivy_M_001565.json, W_28443_10_sportivecasual_M_001546.json, W_15630_50_ivy_M_001573.json","W_24152_60_mods_M_001574.json, W_10823_50_ivy_M_001557.json",W_24747_60_mods_M_001541.json
680,,"W_03162_50_feminine_W_001582.json, T_02819_60_minimal_W_001599.json, T_02343_60_minimal_W_001583.json",,
66217,"W_40202_60_popart_W_192618.json, T_01741_90_kitsch_W_192597.json, T_12793_19_normcore_W_192632.json","W_46697_60_minimal_W_192594.json, W_19190_50_feminine_W_192625.json, T_12533_90_kitsch_W_192613.json",,T_05979_10_sportivecasual_W_192631.json
681,,W_37014_60_minimal_W_001649.json,,"W_37014_60_minimal_W_001649.json, W_22783_70_hippie_W_001634.json"
66225,T_01462_50_ivy_M_192641.json,T_03586_00_metrosexual_M_192679.json,,
66230,,,,W_52521_50_ivy_M_192771.json
66231,,,,W_25649_19_normcore_M_192785.json
696,,W_40177_60_popart_W_001724.json,,
66239,"W_15308_60_mods_M_192824.json, W_00017_60_mods_M_192831.json, T_04928_60_mods_M_192854.json, T_04137_10_sportivecasual_M_192855.json",,,
66250,,W_12187_80_bold_M_192935.json,,
66260,"T_11680_80_powersuit_W_193043.json, W_19359_60_minimal_W_193041.json, T_13305_10_sportivecasual_W_193013.json","T_05127_10_sportivecasual_W_193046.json, T_08637_19_normcore_W_193022.json",T_11680_80_powersuit_W_193043.json,
